SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
BIERCE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.71	2.94	0.0	5.88	0.0	2.94	8.82	0.0	11.76	0.0	0.0	5.88	2.94	17.65	2.94	0.0	0.0	2.94	0.0	0.0	0.0	0.0	61.76	0.0	0.0	0.0	0.0	2.94	2.94	2.94	0.0	2.94	0.0	0.0	0.0	0.0	0.0	5.88	2.94	0.0	5.88	5.88	2.94	2.94	11.76	11.76	14.71	11.76	2.94	8.82	0.0	0.0	2.94	0.0	5.88	11.76	2.94	0.0	0.0	0.0	5.88	20.59	2.94	2.94	0.0
BIERCE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	0.0	23.53	5.88	2.94	2.94	0.0	0.0	2.94	0.0	2.94	0.0	0.0	2.94	2.94	14.71	2.94	0.0	0.0	2.94	0.0	2.94	0.0	0.0	50.00	0.0	0.0	0.0	2.94	0.0	0.0	2.94	0.0	2.94	0.0	2.94	17.65	0.0	0.0	0.0	0.0	0.0	8.82	0.0	5.88	2.94	8.82	14.71	5.88	11.76	2.94	5.88	0.0	0.0	2.94	0.0	5.88	11.76	5.88	0.0	0.0	0.0	0.0	5.88	2.94	5.88	0.0
BIERCE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0
CASANOVA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.71	2.86	8.57	14.29	2.86	0.0	11.43	2.86	17.14	0.0	0.0	2.86	2.86	8.57	8.57	2.86	2.86	0.0	2.86	0.0	0.0	0.0	62.86	0.0	0.0	0.0	0.0	2.86	17.14	0.0	0.0	0.0	0.0	5.71	0.0	0.0	0.0	0.0	11.43	0.0	2.86	8.57	0.0	2.86	17.14	2.86	8.57	22.86	2.86	8.57	2.86	2.86	0.0	0.0	0.0	5.71	0.0	0.0	0.0	0.0	8.57	20.00	0.0	0.0	0.0
CASANOVA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.62	0.0	3.85	3.85	1.92	1.92	3.85	0.0	17.31	3.85	1.92	0.0	0.0	21.15	13.46	0.0	1.92	3.85	0.0	0.0	0.0	0.0	65.38	0.0	1.92	0.0	0.0	0.0	7.69	9.62	0.0	3.85	1.92	7.69	0.0	0.0	7.69	1.92	3.85	0.0	0.0	7.69	0.0	0.0	13.46	7.69	15.38	21.15	0.0	17.31	0.0	0.0	0.0	0.0	0.0	5.77	7.69	0.0	3.85	0.0	5.77	25.00	1.92	1.92	3.85
CASANOVA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASANOVA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	16.67	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
CASANOVA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	50.00	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
BIG RED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	20.00	0.0	20.00	0.0	0.0	0.0	20.00	20.00	0.0	0.0	0.0	20.00	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	40.00	0.0	20.00	0.0
BIG RED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	28.57	0.0	14.29	14.29	0.0	0.0	0.0	0.0	85.71	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	14.29	0.0	42.86	0.0	14.29	0.0	0.0	0.0	0.0	14.29	28.57	14.29	0.0	14.29	0.0	0.0	0.0	14.29	0.0	0.0
