SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
"152"	115	115.0	2.61	0.0	0.0	0.0	2.61	0.0	0.87	0.0	0.0	0.0	0.0	0.87	0.0	13.91	0.0	1.74	0.87	0.0	0.0	10.43	0.0	6.09	3.48	3.48	0.87	0.0	11.30	6.09	0.0	0.0	0.87	0.0	3.48	0.0	0.0	46.96	0.0	0.0	0.0	0.0	1.74	0.0	3.48	0.0	0.87	0.87	0.87	0.0	0.0	2.61	0.0	0.0	0.0	0.0	1.74	7.83	0.87	5.22	14.78	7.83	6.09	2.61	14.78	0.0	0.0	4.35	0.0	5.22	7.83	10.43	0.0	2.61	0.0	1.74	9.57	0.0	0.87	0.0
MATSON	12	12.0	8.33	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	8.33	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.33	0.0	0.0	16.67	0.0	8.33	8.33	8.33	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	25.00	8.33	25.00	33.33	0.0	8.33	0.0	0.0	0.0	0.0	0.0	33.33	8.33	0.0	0.0	0.0	0.0	25.00	0.0	0.0	16.67
BUD	25	25.0	16.00	0.0	0.0	0.0	16.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.00	0.0	4.00	4.00	0.0	0.0	8.00	4.00	12.00	0.0	0.0	0.0	8.00	16.00	8.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.00	0.0	0.0	0.0	4.00	0.0	16.00	8.00	0.0	0.0	0.0	8.00	0.0	4.00	4.00	0.0	0.0	0.0	0.0	0.0	0.0	4.00	16.00	8.00	12.00	24.00	8.00	24.00	0.0	0.0	0.0	0.0	0.0	0.0	16.00	0.0	0.0	0.0	4.00	12.00	0.0	0.0	0.0
FIRST --	6	6.0	33.33	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	50.00	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0
BUD	24	24.0	4.17	4.17	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	4.17	12.50	4.17	0.0	16.67	4.17	4.17	0.0	0.0	4.17	8.33	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.83	0.0	0.0	0.0	4.17	0.0	4.17	4.17	0.0	0.0	0.0	4.17	0.0	4.17	0.0	0.0	4.17	0.0	0.0	0.0	0.0	8.33	4.17	8.33	12.50	8.33	4.17	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	12.50	0.0	0.0	0.0
BUD	6	6.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	16.67	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0
MATSON	19	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.53	0.0	10.53	5.26	5.26	0.0	15.79	0.0	10.53	0.0	0.0	5.26	0.0	21.05	5.26	0.0	5.26	0.0	0.0	0.0	0.0	0.0	57.89	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	5.26	0.0	0.0	0.0	5.26	5.26	5.26	0.0	0.0	0.0	0.0	0.0	10.53	10.53	15.79	10.53	0.0	10.53	0.0	0.0	0.0	0.0	0.0	10.53	5.26	5.26	0.0	0.0	0.0	21.05	0.0	0.0	10.53
BUD	6	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	33.33	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	16.67
MATSON	82	82.0	6.10	0.0	0.0	0.0	6.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.41	0.0	1.22	6.10	2.44	0.0	8.54	0.0	8.54	7.32	3.66	0.0	1.22	7.32	1.22	0.0	0.0	1.22	0.0	0.0	0.0	0.0	47.56	0.0	1.22	1.22	0.0	0.0	6.10	1.22	2.44	0.0	0.0	2.44	2.44	0.0	1.22	1.22	4.88	0.0	2.44	8.54	3.66	1.22	12.20	12.20	4.88	14.63	0.0	12.20	4.88	0.0	1.22	0.0	0.0	8.54	8.54	1.22	4.88	1.22	2.44	13.41	0.0	0.0	4.88
MATSON	34	34.0	2.94	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.0	2.94	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	5.88	5.88	0.0	0.0	0.0	0.0	0.0	0.0	2.94	50.00	0.0	0.0	0.0	0.0	2.94	2.94	5.88	0.0	0.0	0.0	2.94	0.0	0.0	5.88	0.0	0.0	0.0	2.94	0.0	8.82	0.0	17.65	11.76	11.76	20.59	0.0	23.53	0.0	0.0	8.82	0.0	2.94	23.53	8.82	0.0	0.0	0.0	8.82	11.76	5.88	0.0	5.88
MATSON	3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
MATSON	15	15.0	6.67	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	13.33	13.33	6.67	0.0	6.67	0.0	6.67	6.67	6.67	0.0	6.67	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.33	0.0	0.0	6.67	0.0	6.67	0.0	6.67	0.0	0.0	0.0	6.67	0.0	0.0	6.67	6.67	13.33	0.0	0.0	0.0	13.33	0.0	20.00	0.0	13.33	26.67	0.0	20.00	0.0	0.0	0.0	0.0	0.0	40.00	0.0	6.67	6.67	0.0	13.33	13.33	0.0	0.0	20.00
MATSON	15	15.0	6.67	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	0.0	6.67	0.0	0.0	0.0	0.0	6.67	13.33	0.0	0.0	0.0	0.0	6.67	6.67	0.0	6.67	6.67	0.0	0.0	0.0	0.0	60.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	26.67	6.67	6.67	33.33	0.0	20.00	0.0	0.0	0.0	0.0	0.0	6.67	6.67	0.0	6.67	0.0	13.33	20.00	0.0	13.33	6.67
BUD	14	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	14.29	0.0	0.0	0.0	0.0	14.29	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	64.29	0.0	0.0	7.14	0.0	7.14	7.14	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	7.14	0.0	14.29	14.29	21.43	21.43	7.14	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	7.14	0.0	0.0	28.57	0.0	0.0	7.14
MATSON	60	60.0	0.0	1.67	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	5.00	0.0	5.00	6.67	1.67	0.0	8.33	0.0	5.00	3.33	1.67	0.0	0.0	5.00	6.67	1.67	0.0	0.0	0.0	0.0	0.0	0.0	55.00	0.0	1.67	0.0	0.0	3.33	1.67	1.67	0.0	1.67	1.67	1.67	0.0	0.0	5.00	0.0	3.33	0.0	0.0	0.0	1.67	3.33	6.67	21.67	11.67	8.33	5.00	26.67	1.67	0.0	1.67	0.0	3.33	8.33	15.00	0.0	0.0	0.0	6.67	11.67	0.0	0.0	1.67
BUD	20	20.0	5.00	0.0	0.0	0.0	5.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.00	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	5.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.00	0.0	0.0	5.00	0.0	5.00	5.00	5.00	0.0	0.0	0.0	10.00	0.0	0.0	5.00	0.0	0.0	0.0	0.0	10.00	5.00	0.0	5.00	15.00	0.0	15.00	5.00	35.00	0.0	0.0	0.0	0.0	0.0	15.00	20.00	0.0	0.0	0.0	10.00	10.00	0.0	0.0	0.0
MATSON	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	10.00	10.00	0.0	0.0	0.0	0.0	20.00	10.00	0.0	0.0	10.00	0.0	0.0	0.0	0.0	40.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	10.00	0.0	0.0	20.00	0.0	0.0	0.0
MATSON	33	33.0	3.03	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.15	0.0	0.0	3.03	0.0	0.0	6.06	0.0	6.06	0.0	0.0	3.03	0.0	9.09	9.09	0.0	0.0	0.0	0.0	0.0	0.0	3.03	48.48	0.0	0.0	0.0	3.03	3.03	0.0	6.06	0.0	0.0	0.0	3.03	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	3.03	3.03	18.18	15.15	9.09	21.21	0.0	6.06	0.0	0.0	3.03	0.0	9.09	24.24	3.03	0.0	0.0	0.0	0.0	9.09	0.0	0.0	9.09
BUD	12	12.0	8.33	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	16.67	0.0	0.0	8.33	0.0	8.33	0.0	0.0	8.33	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	8.33	8.33	8.33	0.0	8.33	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0
IN	71	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.08	0.0	1.41	1.41	0.0	0.0	14.08	0.0	2.82	4.23	4.23	0.0	0.0	12.68	4.23	0.0	0.0	0.0	0.0	1.41	0.0	0.0	49.30	0.0	0.0	0.0	1.41	1.41	0.0	9.86	0.0	1.41	0.0	1.41	0.0	0.0	2.82	0.0	0.0	0.0	1.41	0.0	4.23	1.41	5.63	12.68	5.63	7.04	5.63	16.90	0.0	0.0	2.82	0.0	5.63	8.45	9.86	0.0	1.41	0.0	4.23	5.63	0.0	0.0	0.0
MATSON	45	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.89	2.22	2.22	2.22	0.0	0.0	8.89	0.0	8.89	2.22	2.22	0.0	0.0	17.78	2.22	0.0	0.0	6.67	0.0	0.0	0.0	0.0	62.22	2.22	0.0	2.22	0.0	0.0	0.0	6.67	0.0	0.0	4.44	4.44	0.0	0.0	8.89	11.11	0.0	0.0	0.0	2.22	8.89	2.22	11.11	20.00	13.33	15.56	0.0	22.22	0.0	0.0	6.67	0.0	2.22	15.56	11.11	0.0	2.22	2.22	2.22	17.78	2.22	0.0	4.44
